,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
1월,181288,178702,176556,176369,185870,191400,196608,202314,204436,204915,204927
2월,181509,177894,176144,176134,185814,191177,196928,202403,203803,204000,204353
3월,181745,177359,175593,176380,185825,191672,197578,202812,203737,204343,204246
4월,181785,176835,175387,176648,186248,191921,198130,203033,203437,205032,204405
5월,181662,176956,175259,176919,186689,192572,198721,203069,203700,205114,204418
6월,181898,177631,175319,177750,187489,193200,199965,203299,203724,205404,204889
7월,181726,177276,175194,179550,187729,193452,200210,203823,203716,205277,205032
8월,180945,176183,175022,180932,187824,193279,200033,203403,203422,204549,204935
9월,180792,176248,175006,182101,188720,193557,200673,203332,203551,204629,204866
10월,180498,176382,175296,183228,189323,193745,200915,203475,203829,204580,204285
11월,179889,176711,175525,184321,189943,194864,201590,203933,203879,204861,204369
12월,179155,176671,175911,185303,191072,196164,202063,204466,204675,205054,205058
