단속년도,시군구명,행정동명,과태료명, 단속건수 
2015,강서구,가양1동,주정차위반과태료,"2,282"
2015,강서구,가양2동,주정차위반과태료,864
2015,강서구,가양3동,주정차위반과태료,"2,682"
2015,강서구,공항동,주정차위반과태료,"7,447"
2015,강서구,등촌1동,주정차위반과태료,"3,523"
2015,강서구,등촌2동,주정차위반과태료,"4,168"
2015,강서구,등촌3동,주정차위반과태료,"5,878"
2015,강서구,발산1동,주정차위반과태료,"3,512"
2015,강서구,방화1동,주정차위반과태료,"6,050"
2015,강서구,방화2동,주정차위반과태료,"5,567"
2015,강서구,방화3동,주정차위반과태료,"1,678"
2015,강서구,염창동,주정차위반과태료,"4,977"
2015,강서구,우장산동,주정차위반과태료,"6,608"
2015,강서구,화곡1동,주정차위반과태료,"8,819"
2015,강서구,화곡2동,주정차위반과태료,"5,124"
2015,강서구,화곡3동,주정차위반과태료,"4,618"
2015,강서구,화곡4동,주정차위반과태료,"2,084"
2015,강서구,화곡6동,주정차위반과태료,"3,154"
2015,강서구,화곡8동,주정차위반과태료,"5,205"
2015,강서구,화곡본동,주정차위반과태료,"3,649"
2016,강서구,가양1동,주정차위반과태료,"3,511"
2016,강서구,가양2동,주정차위반과태료,"1,048"
2016,강서구,가양3동,주정차위반과태료,"2,140"
2016,강서구,공항동,주정차위반과태료,"8,219"
2016,강서구,등촌1동,주정차위반과태료,"3,041"
2016,강서구,등촌2동,주정차위반과태료,"4,821"
2016,강서구,등촌3동,주정차위반과태료,"6,417"
2016,강서구,발산1동,주정차위반과태료,"6,879"
2016,강서구,방화1동,주정차위반과태료,"5,124"
2016,강서구,방화2동,주정차위반과태료,"4,758"
2016,강서구,방화3동,주정차위반과태료,"2,047"
2016,강서구,염창동,주정차위반과태료,"5,674"
2016,강서구,우장산동,주정차위반과태료,"7,541"
2016,강서구,화곡1동,주정차위반과태료,"10,549"
2016,강서구,화곡2동,주정차위반과태료,"5,941"
2016,강서구,화곡3동,주정차위반과태료,"4,335"
2016,강서구,화곡4동,주정차위반과태료,"3,689"
2016,강서구,화곡6동,주정차위반과태료,"2,854"
2016,강서구,화곡8동,주정차위반과태료,"6,022"
2016,강서구,화곡본동,주정차위반과태료,"3,855"
2017,강서구,가양1동,주정차위반과태료,"7,227"
2017,강서구,가양2동,주정차위반과태료,"2,453"
2017,강서구,가양3동,주정차위반과태료,"2,644"
2017,강서구,공항동,주정차위반과태료,"10,135"
2017,강서구,등촌1동,주정차위반과태료,"2,591"
2017,강서구,등촌2동,주정차위반과태료,"4,944"
2017,강서구,등촌3동,주정차위반과태료,"5,798"
2017,강서구,발산1동,주정차위반과태료,"8,451"
2017,강서구,방화1동,주정차위반과태료,"4,977"
2017,강서구,방화2동,주정차위반과태료,"5,744"
2017,강서구,방화3동,주정차위반과태료,"3,068"
2017,강서구,염창동,주정차위반과태료,"6,175"
2017,강서구,우장산동,주정차위반과태료,"7,069"
2017,강서구,화곡1동,주정차위반과태료,"9,543"
2017,강서구,화곡2동,주정차위반과태료,"6,011"
2017,강서구,화곡3동,주정차위반과태료,"4,988"
2017,강서구,화곡4동,주정차위반과태료,"3,108"
2017,강서구,화곡6동,주정차위반과태료,"2,975"
2017,강서구,화곡8동,주정차위반과태료,"5,426"
2017,강서구,화곡본동,주정차위반과태료,"2,647"
2018,강서구,가양1동,주정차위반과태료,"15,256"
2018,강서구,가양2동,주정차위반과태료,"3,387"
2018,강서구,가양3동,주정차위반과태료,"3,019"
2018,강서구,공항동,주정차위반과태료,"16,425"
2018,강서구,등촌1동,주정차위반과태료,"3,518"
2018,강서구,등촌2동,주정차위반과태료,"5,441"
2018,강서구,등촌3동,주정차위반과태료,"5,996"
2018,강서구,발산1동,주정차위반과태료,"10,245"
2018,강서구,방화1동,주정차위반과태료,"10,236"
2018,강서구,방화2동,주정차위반과태료,"5,894"
2018,강서구,방화3동,주정차위반과태료,"6,553"
2018,강서구,염창동,주정차위반과태료,"7,170"
2018,강서구,우장산동,주정차위반과태료,"8,853"
2018,강서구,화곡1동,주정차위반과태료,"13,465"
2018,강서구,화곡2동,주정차위반과태료,"8,546"
2018,강서구,화곡3동,주정차위반과태료,"5,678"
2018,강서구,화곡4동,주정차위반과태료,"4,614"
2018,강서구,화곡6동,주정차위반과태료,"3,945"
2018,강서구,화곡8동,주정차위반과태료,"6,744"
2018,강서구,화곡본동,주정차위반과태료,"3,546"
2019,강서구,가양1동,주정차위반과태료,"21,335"
2019,강서구,가양2동,주정차위반과태료,"2,133"
2019,강서구,가양3동,주정차위반과태료,"1,273"
2019,강서구,공항동,주정차위반과태료,"44,608"
2019,강서구,등촌1동,주정차위반과태료,"13,730"
2019,강서구,등촌2동,주정차위반과태료,"2,329"
2019,강서구,등촌3동,주정차위반과태료,"6,697"
2019,강서구,발산1동,주정차위반과태료,"14,247"
2019,강서구,방화1동,주정차위반과태료,"11,695"
2019,강서구,방화2동,주정차위반과태료,"7,702"
2019,강서구,방화3동,주정차위반과태료,"4,394"
2019,강서구,염창동,주정차위반과태료,"6,518"
2019,강서구,우장산동,주정차위반과태료,"2,248"
2019,강서구,화곡1동,주정차위반과태료,"9,109"
2019,강서구,화곡2동,주정차위반과태료,"2,908"
2019,강서구,화곡3동,주정차위반과태료,"3,847"
2019,강서구,화곡4동,주정차위반과태료,"6,189"
2019,강서구,화곡6동,주정차위반과태료,"7,067"
2019,강서구,화곡8동,주정차위반과태료,"3,051"
2019,강서구,화곡본동,주정차위반과태료,"3,919"
2020,강서구,가양1동,주정차위반과태료,"16,889"
2020,강서구,가양2동,주정차위반과태료,"13,315"
2020,강서구,가양3동,주정차위반과태료,"1,801"
2020,강서구,공항동,주정차위반과태료,"41,748"
2020,강서구,등촌1동,주정차위반과태료,"6,341"
2020,강서구,등촌2동,주정차위반과태료,"1,888"
2020,강서구,등촌3동,주정차위반과태료,"2,824"
2020,강서구,발산1동,주정차위반과태료,"20,476"
2020,강서구,방화1동,주정차위반과태료,"6,578"
2020,강서구,방화2동,주정차위반과태료,"7,404"
2020,강서구,방화3동,주정차위반과태료,"2,714"
2020,강서구,염창동,주정차위반과태료,"7,495"
2020,강서구,우장산동,주정차위반과태료,"3,073"
2020,강서구,화곡1동,주정차위반과태료,"13,410"
2020,강서구,화곡2동,주정차위반과태료,"3,829"
2020,강서구,화곡3동,주정차위반과태료,"4,245"
2020,강서구,화곡4동,주정차위반과태료,"5,120"
2020,강서구,화곡6동,주정차위반과태료,"5,820"
2020,강서구,화곡8동,주정차위반과태료,"3,628"
2020,강서구,화곡본동,주정차위반과태료,"4,098"
